"","region","year","alcohol_consumption","continent"
"1","Afghanistan",2010,0.21,"Asia"
"2","Afghanistan",2015,0.21,"Asia"
"3","Afghanistan",2018,0.21,"Asia"
"4","Albania",2000,6.57,"Europe"
"5","Albania",2005,7.65,"Europe"
"6","Albania",2010,7.69,"Europe"
"7","Albania",2015,6.74,"Europe"
"8","Albania",2018,7.17,"Europe"
"9","Algeria",2000,0.58,"Africa"
"10","Algeria",2005,0.81,"Africa"
"11","Algeria",2010,0.65,"Africa"
"12","Algeria",2015,0.93,"Africa"
"13","Algeria",2018,0.95,"Africa"
"14","Andorra",2000,13.28,"Europe"
"15","Andorra",2005,12.55,"Europe"
"16","Andorra",2010,11.11,"Europe"
"17","Andorra",2015,11.01,"Europe"
"18","Andorra",2018,11.02,"Europe"
"19","Angola",2000,2.76,"Africa"
"20","Angola",2005,4.89,"Africa"
"21","Angola",2010,8.16,"Africa"
"22","Angola",2015,7.96,"Africa"
"23","Angola",2018,6.94,"Africa"
"24","Antigua and Barbuda",2000,5.13,"North America"
"25","Antigua and Barbuda",2005,5.37,"North America"
"26","Antigua and Barbuda",2010,5.6,"North America"
"27","Antigua and Barbuda",2015,5.89,"North America"
"28","Antigua and Barbuda",2018,6.38,"North America"
"29","Argentina",2000,8.75,"South America"
"30","Argentina",2005,8.66,"South America"
"31","Argentina",2010,9.09,"South America"
"32","Argentina",2015,9.55,"South America"
"33","Argentina",2018,9.65,"South America"
"34","Armenia",2000,4.23,"Europe"
"35","Armenia",2005,5.79,"Europe"
"36","Armenia",2010,5.69,"Europe"
"37","Armenia",2015,5.84,"Europe"
"38","Armenia",2018,5.55,"Europe"
"39","Australia",2000,11.72,"Oceania"
"40","Australia",2005,12.08,"Oceania"
"41","Australia",2010,12.39,"Oceania"
"42","Australia",2015,10.83,"Oceania"
"43","Australia",2018,10.51,"Oceania"
"44","Austria",2000,13.12,"Europe"
"45","Austria",2005,12.79,"Europe"
"46","Austria",2010,12.2,"Europe"
"47","Austria",2015,12.07,"Europe"
"48","Austria",2018,11.96,"Europe"
"49","Azerbaijan",2000,3.45,"Europe"
"50","Azerbaijan",2005,1.81,"Europe"
"51","Azerbaijan",2010,2.97,"Europe"
"52","Azerbaijan",2015,4.58,"Europe"
"53","Azerbaijan",2018,4.41,"Europe"
"54","Bahamas",2000,5.58,"North America"
"55","Bahamas",2005,4.28,"North America"
"56","Bahamas",2010,4.12,"North America"
"57","Bahamas",2015,4.55,"North America"
"58","Bahamas",2018,4.78,"North America"
"59","Bahrain",2000,1.74,"Asia"
"60","Bahrain",2005,1.76,"Asia"
"61","Bahrain",2010,1.69,"Asia"
"62","Bahrain",2015,1.3,"Asia"
"63","Bahrain",2018,1.09,"Asia"
"64","Bangladesh",2000,0.23,"Asia"
"65","Bangladesh",2005,0.16,"Asia"
"66","Bangladesh",2010,0.16,"Asia"
"67","Bangladesh",2015,0.021,"Asia"
"68","Bangladesh",2018,0.019,"Asia"
"69","Barbados",2000,7.11,"North America"
"70","Barbados",2005,7.4,"North America"
"71","Barbados",2010,7.95,"North America"
"72","Barbados",2015,9.33,"North America"
"73","Barbados",2018,9.69,"North America"
"74","Belarus",2000,15.17,"Europe"
"75","Belarus",2005,15.3,"Europe"
"76","Belarus",2010,17.43,"Europe"
"77","Belarus",2015,12,"Europe"
"78","Belarus",2018,11.45,"Europe"
"79","Belgium",2000,12.49,"Europe"
"80","Belgium",2005,13.13,"Europe"
"81","Belgium",2010,11.4,"Europe"
"82","Belgium",2015,11.82,"Europe"
"83","Belgium",2018,11.08,"Europe"
"84","Belize",2000,5.55,"North America"
"85","Belize",2005,7.16,"North America"
"86","Belize",2010,7.08,"North America"
"87","Belize",2015,6.74,"North America"
"88","Belize",2018,6.22,"North America"
"89","Benin",2000,2.46,"Africa"
"90","Benin",2005,2.23,"Africa"
"91","Benin",2010,2.47,"Africa"
"92","Benin",2015,2.97,"Africa"
"93","Benin",2018,2.81,"Africa"
"94","Bhutan",2000,2.77,"Asia"
"95","Bhutan",2005,1.6,"Asia"
"96","Bhutan",2010,0.92,"Asia"
"97","Bhutan",2015,0.42,"Asia"
"98","Bhutan",2018,0.43,"Asia"
"99","Bolivia",2000,3.44,"South America"
"100","Bolivia",2005,4.37,"South America"
"101","Bolivia",2010,5.56,"South America"
"102","Bolivia",2015,4.64,"South America"
"103","Bolivia",2018,4.43,"South America"
"104","Bosnia and Herzegovina",2000,6.37,"Europe"
"105","Bosnia and Herzegovina",2005,7.2,"Europe"
"106","Bosnia and Herzegovina",2010,7.32,"Europe"
"107","Bosnia and Herzegovina",2015,6.92,"Europe"
"108","Bosnia and Herzegovina",2018,7.15,"Europe"
"109","Botswana",2000,9.05,"Africa"
"110","Botswana",2005,9.61,"Africa"
"111","Botswana",2010,8.62,"Africa"
"112","Botswana",2015,6.86,"Africa"
"113","Botswana",2018,6.59,"Africa"
"114","Brazil",2000,8.78,"South America"
"115","Brazil",2005,8.32,"South America"
"116","Brazil",2010,8.49,"South America"
"117","Brazil",2015,7.86,"South America"
"118","Brazil",2018,7.42,"South America"
"119","Brunei",2000,0.23,"Asia"
"120","Brunei",2005,0.21,"Asia"
"121","Brunei",2010,0.51,"Asia"
"122","Brunei",2015,0.46,"Asia"
"123","Brunei",2018,0.48,"Asia"
"124","Bulgaria",2000,11.8,"Europe"
"125","Bulgaria",2005,11.42,"Europe"
"126","Bulgaria",2010,11.32,"Europe"
"127","Bulgaria",2015,12.34,"Europe"
"128","Bulgaria",2018,12.65,"Europe"
"129","Burundi",2000,9.82,"Africa"
"130","Burundi",2005,8.44,"Africa"
"131","Burundi",2010,7.66,"Africa"
"132","Burundi",2015,7.03,"Africa"
"133","Burundi",2018,7.19,"Africa"
"134","Cambodia",2000,1.87,"Asia"
"135","Cambodia",2005,2.69,"Asia"
"136","Cambodia",2010,4.91,"Asia"
"137","Cambodia",2015,6.37,"Asia"
"138","Cambodia",2018,6.64,"Asia"
"139","Cameroon",2000,6.69,"Africa"
"140","Cameroon",2005,7.62,"Africa"
"141","Cameroon",2010,8.43,"Africa"
"142","Cameroon",2015,6.17,"Africa"
"143","Cameroon",2018,5.65,"Africa"
"144","Canada",2010,10.1,"North America"
"145","Canada",2015,8.88,"North America"
"146","Canada",2018,8.94,"North America"
"147","Cape Verde",2000,6.03,"Africa"
"148","Cape Verde",2005,6.95,"Africa"
"149","Cape Verde",2010,7.51,"Africa"
"150","Cape Verde",2015,5.95,"Africa"
"151","Cape Verde",2018,5.6,"Africa"
"152","Central African Republic",2000,3.68,"Africa"
"153","Central African Republic",2005,3.62,"Africa"
"154","Central African Republic",2010,3.98,"Africa"
"155","Central African Republic",2015,2.43,"Africa"
"156","Central African Republic",2018,2.38,"Africa"
"157","Chad",2000,4.34,"Africa"
"158","Chad",2005,4.62,"Africa"
"159","Chad",2010,6.58,"Africa"
"160","Chad",2015,1.45,"Africa"
"161","Chad",2018,1.37,"Africa"
"162","Chile",2000,7.74,"South America"
"163","Chile",2005,8.93,"South America"
"164","Chile",2010,9.31,"South America"
"165","Chile",2015,9.26,"South America"
"166","Chile",2018,9.07,"South America"
"167","China",2000,3.81,"Asia"
"168","China",2005,4.02,"Asia"
"169","China",2010,7.07,"Asia"
"170","China",2015,7.15,"Asia"
"171","China",2018,7.05,"Asia"
"172","Colombia",2000,5.58,"South America"
"173","Colombia",2005,5.41,"South America"
"174","Colombia",2010,5.04,"South America"
"175","Colombia",2015,5.78,"South America"
"176","Colombia",2018,5.74,"South America"
"177","Comoros",2000,0.19,"Africa"
"178","Comoros",2005,0.44,"Africa"
"179","Comoros",2010,0.25,"Africa"
"180","Comoros",2015,0.88,"Africa"
"181","Comoros",2018,0.69,"Africa"
"182","Congo",2000,3.45,"Africa"
"183","Congo",2005,3.75,"Africa"
"184","Congo",2010,6.17,"Africa"
"185","Congo",2015,7.9,"Africa"
"186","Congo",2018,9.27,"Africa"
"187","Costa Rica",2000,5.55,"North America"
"188","Costa Rica",2005,5.42,"North America"
"189","Costa Rica",2010,4.8,"North America"
"190","Costa Rica",2015,4.76,"North America"
"191","Costa Rica",2018,4.87,"North America"
"192","Cote d'Ivoire",2000,7.25,"Africa"
"193","Cote d'Ivoire",2005,3.3,"Africa"
"194","Cote d'Ivoire",2010,2.53,"Africa"
"195","Cote d'Ivoire",2015,2.61,"Africa"
"196","Cote d'Ivoire",2018,2.71,"Africa"
"197","Croatia",2000,12.45,"Europe"
"198","Croatia",2005,10.31,"Europe"
"199","Croatia",2010,10.08,"Europe"
"200","Croatia",2015,9.07,"Europe"
"201","Croatia",2018,9.23,"Europe"
"202","Cuba",2000,4.98,"North America"
"203","Cuba",2005,5.36,"North America"
"204","Cuba",2010,5.02,"North America"
"205","Cuba",2015,5.67,"North America"
"206","Cuba",2018,5.83,"North America"
"207","Cyprus",2000,10.86,"Europe"
"208","Cyprus",2005,12.43,"Europe"
"209","Cyprus",2010,11.35,"Europe"
"210","Cyprus",2015,10.76,"Europe"
"211","Cyprus",2018,10.81,"Europe"
"212","Czechia",2000,15,"Europe"
"213","Czechia",2005,14.76,"Europe"
"214","Czechia",2010,14.06,"Europe"
"215","Czechia",2015,14.25,"Europe"
"216","Czechia",2018,14.45,"Europe"
"217","Democratic Republic of Congo",2000,0.95,"Africa"
"218","Democratic Republic of Congo",2005,0.86,"Africa"
"219","Democratic Republic of Congo",2010,1.75,"Africa"
"220","Democratic Republic of Congo",2015,2.05,"Africa"
"221","Democratic Republic of Congo",2018,2,"Africa"
