"","region","year","corruption_perception_index","continent"
"1","Afghanistan",2012,8,"Asia"
"2","Afghanistan",2013,8,"Asia"
"3","Afghanistan",2014,12,"Asia"
"4","Afghanistan",2015,11,"Asia"
"5","Afghanistan",2016,15,"Asia"
"6","Afghanistan",2017,15,"Asia"
"7","Afghanistan",2018,16,"Asia"
"8","Albania",2012,33,"Europe"
"9","Albania",2013,31,"Europe"
"10","Albania",2014,33,"Europe"
"11","Albania",2015,36,"Europe"
"12","Albania",2016,39,"Europe"
"13","Albania",2017,38,"Europe"
"14","Albania",2018,36,"Europe"
"15","Algeria",2012,34,"Africa"
"16","Algeria",2013,36,"Africa"
"17","Algeria",2014,36,"Africa"
"18","Algeria",2015,36,"Africa"
"19","Algeria",2016,34,"Africa"
"20","Algeria",2017,33,"Africa"
"21","Algeria",2018,35,"Africa"
"22","Angola",2012,22,"Africa"
"23","Angola",2013,23,"Africa"
"24","Angola",2014,19,"Africa"
"25","Angola",2015,15,"Africa"
"26","Angola",2016,18,"Africa"
"27","Angola",2017,19,"Africa"
"28","Angola",2018,19,"Africa"
"29","Argentina",2012,35,"South America"
"30","Argentina",2013,34,"South America"
"31","Argentina",2014,34,"South America"
"32","Argentina",2015,32,"South America"
"33","Argentina",2016,36,"South America"
"34","Argentina",2017,39,"South America"
"35","Argentina",2018,40,"South America"
"36","Armenia",2012,34,"Europe"
"37","Armenia",2013,36,"Europe"
"38","Armenia",2014,37,"Europe"
"39","Armenia",2015,35,"Europe"
"40","Armenia",2016,33,"Europe"
"41","Armenia",2017,35,"Europe"
"42","Armenia",2018,35,"Europe"
"43","Australia",2012,85,"Oceania"
"44","Australia",2013,81,"Oceania"
"45","Australia",2014,80,"Oceania"
"46","Australia",2015,79,"Oceania"
"47","Australia",2016,79,"Oceania"
"48","Australia",2017,77,"Oceania"
"49","Australia",2018,77,"Oceania"
"50","Austria",2012,69,"Europe"
"51","Austria",2013,69,"Europe"
"52","Austria",2014,72,"Europe"
"53","Austria",2015,76,"Europe"
"54","Austria",2016,75,"Europe"
"55","Austria",2017,75,"Europe"
"56","Austria",2018,76,"Europe"
"57","Azerbaijan",2012,27,"Europe"
"58","Azerbaijan",2013,28,"Europe"
"59","Azerbaijan",2014,29,"Europe"
"60","Azerbaijan",2015,29,"Europe"
"61","Azerbaijan",2016,30,"Europe"
"62","Azerbaijan",2017,31,"Europe"
"63","Azerbaijan",2018,25,"Europe"
"64","Bahamas",2012,71,"North America"
