"","region","year","gdp","continent"
"1","Afghanistan",2002,1189.78466765718,"Asia"
"2","Afghanistan",2003,1235.81006329565,"Asia"
"3","Afghanistan",2004,1200.27801321734,"Asia"
"4","Afghanistan",2005,1286.79365893927,"Asia"
"5","Afghanistan",2006,1315.78911741835,"Asia"
"6","Afghanistan",2007,1460.8257513794,"Asia"
"7","Afghanistan",2008,1484.11446132539,"Asia"
"8","Afghanistan",2009,1758.90447663765,"Asia"
"9","Afghanistan",2010,1957.02906990812,"Asia"
"10","Afghanistan",2011,1904.55992565594,"Asia"
"11","Afghanistan",2012,2075.49161435331,"Asia"
"12","Afghanistan",2013,2116.46525771251,"Asia"
"13","Afghanistan",2014,2102.38460375974,"Asia"
"14","Afghanistan",2015,2068.26590413364,"Asia"
"15","Afghanistan",2016,2057.06797755329,"Asia"
"16","Afghanistan",2017,2058.4002210698,"Asia"
"17","Afghanistan",2018,2033.80438893717,"Asia"
"18","Afghanistan",2019,2065.03623501599,"Asia"
"19","Afghanistan",2020,1978.96157872183,"Asia"
"20","Albania",1990,4827.31848375491,"Europe"
"21","Albania",1991,3496.58024610028,"Europe"
"22","Albania",1992,3265.01742857304,"Europe"
"23","Albania",1993,3599.02705819638,"Europe"
"24","Albania",1994,3921.85120713086,"Europe"
"25","Albania",1995,4471.87106998715,"Europe"
"26","Albania",1996,4909.22810492363,"Europe"
"27","Albania",1997,4400.57782736551,"Europe"
"28","Albania",1998,4819.38753360483,"Europe"
"29","Albania",1999,5475.16913542593,"Europe"
"30","Albania",2000,5893.13623256329,"Europe"
"31","Albania",2001,6441.85345238676,"Europe"
"32","Albania",2002,6754.53600301332,"Europe"
"33","Albania",2003,7154.78482512179,"Europe"
"34","Albania",2004,7580.62909108667,"Europe"
"35","Albania",2005,8040.87871678112,"Europe"
"36","Albania",2006,8569.19111251045,"Europe"
"37","Albania",2007,9150.51874704368,"Europe"
"38","Albania",2008,9912.57724242974,"Europe"
"39","Albania",2009,10313.926441304,"Europe"
"40","Albania",2010,10749.4874481658,"Europe"
"41","Albania",2011,11052.7904635136,"Europe"
"42","Albania",2012,11227.9944871972,"Europe"
"43","Albania",2013,11361.2936763788,"Europe"
"44","Albania",2014,11586.8637666424,"Europe"
"45","Albania",2015,11878.4880933446,"Europe"
"46","Albania",2016,12291.8733773928,"Europe"
"47","Albania",2017,12770.9750370811,"Europe"
"48","Albania",2018,13323.7533559132,"Europe"
"49","Albania",2019,13671.4884222978,"Europe"
"50","Albania",2020,13295.4108845409,"Europe"
"51","Algeria",1990,8746.35188227883,"Africa"
"52","Algeria",1991,8431.38854129605,"Africa"
"53","Algeria",1992,8383.76900709815,"Africa"
"54","Algeria",1993,8027.37610689754,"Africa"
"55","Algeria",1994,7792.0843535331,"Africa"
"56","Algeria",1995,7935.17901354383,"Africa"
"57","Algeria",1996,8116.9599471048,"Africa"
"58","Algeria",1997,8074.75968137775,"Africa"
"59","Algeria",1998,8360.15144618748,"Africa"
"60","Algeria",1999,8506.34567872554,"Africa"
"61","Algeria",2000,8710.45514928455,"Africa"
"62","Algeria",2001,8855.02018576846,"Africa"
"63","Algeria",2002,9232.42752284659,"Africa"
"64","Algeria",2003,9771.68485621459,"Africa"
"65","Algeria",2004,10058.4390154947,"Africa"
"66","Algeria",2005,10504.8584676293,"Africa"
"67","Algeria",2006,10527.4220783457,"Africa"
"68","Algeria",2007,10717.7844636359,"Africa"
"69","Algeria",2008,10796.9025638468,"Africa"
"70","Algeria",2009,10782.3610927014,"Africa"
"71","Algeria",2010,10970.7063686682,"Africa"
"72","Algeria",2011,11078.2423287826,"Africa"
"73","Algeria",2012,11233.53132033,"Africa"
"74","Algeria",2013,11319.0970588002,"Africa"
"75","Algeria",2014,11512.7051094875,"Africa"
"76","Algeria",2015,11696.9652290603,"Africa"
"77","Algeria",2016,11826.1664161029,"Africa"
"78","Algeria",2017,11737.4161588301,"Africa"
"79","Algeria",2018,11642.1983450506,"Africa"
"80","Algeria",2019,11510.5570882585,"Africa"
"81","Algeria",2020,10681.6792969827,"Africa"
"82","Angola",1990,5783.42955231631,"Africa"
"83","Angola",1991,5649.78212964561,"Africa"
"84","Angola",1992,5148.25485731592,"Africa"
"85","Angola",1993,3788.5095556555,"Africa"
"86","Angola",1994,3717.36522903903,"Africa"
"87","Angola",1995,4139.64076955341,"Africa"
"88","Angola",1996,4551.6503810052,"Africa"
"89","Angola",1997,4728.1569239722,"Africa"
"90","Angola",1998,4792.68416271916,"Africa"
"91","Angola",1999,4740.66923573176,"Africa"
"92","Angola",2000,4727.96631394756,"Africa"
"93","Angola",2001,4766.83673589953,"Africa"
"94","Angola",2002,5240.8394329332,"Africa"
"95","Angola",2003,5218.20771212651,"Africa"
"96","Angola",2004,5593.24362419081,"Africa"
"97","Angola",2005,6210.2221878264,"Africa"
"98","Angola",2006,6681.10102767941,"Africa"
"99","Angola",2007,7341.86519904765,"Africa"
"100","Angola",2008,7864.37457862612,"Africa"
"101","Angola",2009,7643.49578596548,"Africa"
"102","Angola",2010,7692.43428623311,"Africa"
"103","Angola",2011,7675.44608452759,"Africa"
"104","Angola",2012,8036.69240208792,"Africa"
"105","Angola",2013,8140.52597328045,"Africa"
"106","Angola",2014,8239.8306720725,"Africa"
"107","Angola",2015,8036.41089824639,"Africa"
"108","Angola",2016,7568.99816818809,"Africa"
"109","Angola",2017,7310.89658895511,"Africa"
"110","Angola",2018,6933.49993413352,"Africa"
"111","Angola",2019,6670.33145836633,"Africa"
"112","Angola",2020,6198.08384070806,"Africa"
"113","Antigua and Barbuda",1990,15458.4571892781,"North America"
"114","Antigua and Barbuda",1991,15588.0229589094,"North America"
"115","Antigua and Barbuda",1992,15500.4918378665,"North America"
"116","Antigua and Barbuda",1993,15991.9107140353,"North America"
"117","Antigua and Barbuda",1994,16698.1471572791,"North America"
"118","Antigua and Barbuda",1995,15628.0850109655,"North America"
"119","Antigua and Barbuda",1996,16303.1762779464,"North America"
"120","Antigua and Barbuda",1997,16828.0909380957,"North America"
"121","Antigua and Barbuda",1998,17260.3015741427,"North America"
"122","Antigua and Barbuda",1999,17551.4667690828,"North America"
"123","Antigua and Barbuda",2000,18313.3497055005,"North America"
"124","Antigua and Barbuda",2001,17207.6512135618,"North America"
"125","Antigua and Barbuda",2002,17143.3260283248,"North America"
"126","Antigua and Barbuda",2003,17952.7791441441,"North America"
"127","Antigua and Barbuda",2004,18743.286854691,"North America"
"128","Antigua and Barbuda",2005,19683.5410828179,"North America"
"129","Antigua and Barbuda",2006,21848.8881268378,"North America"
"130","Antigua and Barbuda",2007,23510.7076526761,"North America"
"131","Antigua and Barbuda",2008,23131.577653176,"North America"
"132","Antigua and Barbuda",2009,20047.716006336,"North America"
"133","Antigua and Barbuda",2010,18205.7385326292,"North America"
"134","Antigua and Barbuda",2011,17605.1701396079,"North America"
"135","Antigua and Barbuda",2012,17966.0643624765,"North America"
"136","Antigua and Barbuda",2013,17642.860867551,"North America"
