"","region","year","happiness","continent"
"1","Afghanistan",2008,3.724,"Asia"
"2","Afghanistan",2009,4.402,"Asia"
"3","Afghanistan",2010,4.758,"Asia"
"4","Afghanistan",2011,3.832,"Asia"
"5","Afghanistan",2012,3.783,"Asia"
"6","Afghanistan",2013,3.572,"Asia"
"7","Afghanistan",2014,3.131,"Asia"
"8","Afghanistan",2015,3.983,"Asia"
"9","Afghanistan",2016,4.22,"Asia"
"10","Afghanistan",2017,2.662,"Asia"
"11","Afghanistan",2018,2.694,"Asia"
"12","Afghanistan",2019,2.375,"Asia"
"13","Albania",2007,4.634,"Europe"
"14","Albania",2009,5.485,"Europe"
"15","Albania",2010,5.269,"Europe"
"16","Albania",2011,5.867,"Europe"
"17","Albania",2012,5.51,"Europe"
"18","Albania",2013,4.551,"Europe"
"19","Albania",2014,4.814,"Europe"
"20","Albania",2015,4.607,"Europe"
"21","Albania",2016,4.511,"Europe"
"22","Albania",2017,4.64,"Europe"
"23","Albania",2018,5.004,"Europe"
"24","Albania",2019,4.995,"Europe"
"25","Albania",2020,5.365,"Europe"
"26","Algeria",2010,5.464,"Africa"
"27","Algeria",2011,5.317,"Africa"
"28","Algeria",2012,5.605,"Africa"
"29","Algeria",2014,6.355,"Africa"
"30","Algeria",2016,5.341,"Africa"
"31","Algeria",2017,5.249,"Africa"
"32","Algeria",2018,5.043,"Africa"
"33","Algeria",2019,4.745,"Africa"
"34","Angola",2011,5.589,"Africa"
"35","Angola",2012,4.36,"Africa"
"36","Angola",2013,3.937,"Africa"
"37","Angola",2014,3.795,"Africa"
"38","Argentina",2006,6.313,"South America"
"39","Argentina",2007,6.073,"South America"
"40","Argentina",2008,5.961,"South America"
"41","Argentina",2009,6.424,"South America"
"42","Argentina",2010,6.441,"South America"
"43","Argentina",2011,6.776,"South America"
"44","Argentina",2012,6.468,"South America"
"45","Argentina",2013,6.582,"South America"
"46","Argentina",2014,6.671,"South America"
"47","Argentina",2015,6.697,"South America"
"48","Argentina",2016,6.427,"South America"
"49","Argentina",2017,6.039,"South America"
"50","Argentina",2018,5.793,"South America"
"51","Argentina",2019,6.086,"South America"
"52","Argentina",2020,5.901,"South America"
"53","Armenia",2006,4.289,"Europe"
"54","Armenia",2007,4.882,"Europe"
"55","Armenia",2008,4.652,"Europe"
"56","Armenia",2009,4.178,"Europe"
"57","Armenia",2010,4.368,"Europe"
"58","Armenia",2011,4.26,"Europe"
"59","Armenia",2012,4.32,"Europe"
"60","Armenia",2013,4.277,"Europe"
"61","Armenia",2014,4.453,"Europe"
"62","Armenia",2015,4.348,"Europe"
"63","Armenia",2016,4.325,"Europe"
"64","Armenia",2017,4.288,"Europe"
"65","Armenia",2018,5.062,"Europe"
"66","Armenia",2019,5.488,"Europe"
"67","Australia",2005,7.341,"Oceania"
"68","Australia",2007,7.285,"Oceania"
"69","Australia",2008,7.254,"Oceania"
"70","Australia",2010,7.45,"Oceania"
"71","Australia",2011,7.406,"Oceania"
"72","Australia",2012,7.196,"Oceania"
"73","Australia",2013,7.364,"Oceania"
"74","Australia",2014,7.289,"Oceania"
"75","Australia",2015,7.309,"Oceania"
"76","Australia",2016,7.25,"Oceania"
"77","Australia",2017,7.257,"Oceania"
"78","Australia",2018,7.177,"Oceania"
"79","Australia",2019,7.234,"Oceania"
"80","Australia",2020,7.137,"Oceania"
"81","Austria",2006,7.122,"Europe"
"82","Austria",2008,7.181,"Europe"
"83","Austria",2010,7.303,"Europe"
"84","Austria",2011,7.471,"Europe"
"85","Austria",2012,7.401,"Europe"
"86","Austria",2013,7.499,"Europe"
"87","Austria",2014,6.95,"Europe"
