"","region","year","homicide_rate","continent"
"1","Afghanistan",1990,13.4649329985646,"Asia"
"2","Afghanistan",1991,15.9010068058848,"Asia"
"3","Afghanistan",1992,15.806759989472,"Asia"
"4","Afghanistan",1993,16.196604942609,"Asia"
"5","Afghanistan",1994,17.0252343049654,"Asia"
"6","Afghanistan",1995,16.9736618005258,"Asia"
"7","Afghanistan",1996,18.2681700640069,"Asia"
"8","Afghanistan",1997,16.0446174066211,"Asia"
"9","Afghanistan",1998,16.1658698322989,"Asia"
"10","Afghanistan",1999,15.172595800355,"Asia"
"11","Afghanistan",2000,14.7510775661049,"Asia"
"12","Afghanistan",2001,14.6786560209222,"Asia"
"13","Afghanistan",2002,15.23711763599,"Asia"
"14","Afghanistan",2003,15.3566988677534,"Asia"
"15","Afghanistan",2004,14.8359387367492,"Asia"
"16","Afghanistan",2005,14.4053570935876,"Asia"
"17","Afghanistan",2006,14.5031414579783,"Asia"
"18","Afghanistan",2007,14.2423095508991,"Asia"
"19","Afghanistan",2008,14.2154853900434,"Asia"
"20","Afghanistan",2009,14.0730092277652,"Asia"
"21","Afghanistan",2010,14.4343404085346,"Asia"
"22","Afghanistan",2011,14.0336489257593,"Asia"
"23","Afghanistan",2012,13.773872625161,"Asia"
"24","Afghanistan",2013,13.7192260125954,"Asia"
"25","Afghanistan",2014,13.4954548605717,"Asia"
"26","Afghanistan",2015,15.0048841173076,"Asia"
"27","Afghanistan",2016,14.4969739328413,"Asia"
"28","Afghanistan",2017,14.4528232610091,"Asia"
"29","Afghanistan",2018,14.8372922423082,"Asia"
"30","Afghanistan",2019,13.1026002279128,"Asia"
"31","Albania",1990,5.34957091343714,"Europe"
"32","Albania",1991,6.22317278212599,"Europe"
"33","Albania",1992,6.92114331490757,"Europe"
"34","Albania",1993,7.71058087397963,"Europe"
"35","Albania",1994,8.52229115711295,"Europe"
"36","Albania",1995,9.79111153655916,"Europe"
"37","Albania",1996,11.0875384110965,"Europe"
"38","Albania",1997,13.0555697346708,"Europe"
"39","Albania",1998,13.6988503565913,"Europe"
"40","Albania",1999,12.0954220287594,"Europe"
"41","Albania",2000,9.67814206854124,"Europe"
"42","Albania",2001,7.93843583737154,"Europe"
"43","Albania",2002,6.53864517359618,"Europe"
"44","Albania",2003,5.32142669174097,"Europe"
"45","Albania",2004,4.17371038111726,"Europe"
"46","Albania",2005,3.04597405579709,"Europe"
"47","Albania",2006,2.5685968954321,"Europe"
"48","Albania",2007,2.56449084262707,"Europe"
"49","Albania",2008,2.42788378447494,"Europe"
"50","Albania",2009,2.12509477639979,"Europe"
"51","Albania",2010,2.28052702661477,"Europe"
"52","Albania",2011,2.26672874200042,"Europe"
"53","Albania",2012,2.26139638546216,"Europe"
"54","Albania",2013,2.24260808979105,"Europe"
"55","Albania",2014,2.24452325130604,"Europe"
"56","Albania",2015,2.25776913206902,"Europe"
"57","Albania",2016,2.22692430013906,"Europe"
"58","Albania",2017,2.1836183654365,"Europe"
"59","Albania",2018,2.15109294820422,"Europe"
