"","region","year","literacy_rates","continent"
"1","Afghanistan",1979,18.157681,"Asia"
"2","Afghanistan",2011,31.741119,"Asia"
"3","Afghanistan",2015,38.168041,"Asia"
"4","Albania",2001,98.712982,"Europe"
"5","Albania",2008,95.938637,"Europe"
"6","Albania",2011,96.845299,"Europe"
"7","Albania",2012,97.246971,"Europe"
"8","Albania",2015,97.553902,"Europe"
"9","Algeria",1987,49.630878,"Africa"
"10","Algeria",2002,69.873497,"Africa"
"11","Algeria",2006,72.648682,"Africa"
"12","Algeria",2008,75.136047,"Africa"
"13","Algeria",2015,79.608398,"Africa"
"14","Andorra",2011,100,"Europe"
"15","Angola",2001,67.405418,"Africa"
"16","Angola",2014,70.991089,"Africa"
"17","Angola",2015,71.164162,"Africa"
"18","Antigua and Barbuda",2001,98.949997,"North America"
"19","Antigua and Barbuda",2014,98.949997,"North America"
"20","Argentina",1900,51.299999,"South America"
"21","Argentina",1910,60.400002,"South America"
"22","Argentina",1920,68.199997,"South America"
"23","Argentina",1930,74.900002,"South America"
"24","Argentina",1940,81.699997,"South America"
"25","Argentina",1950,87.599998,"South America"
"26","Argentina",1960,91.400002,"South America"
"27","Argentina",1970,93,"South America"
"28","Argentina",1979,94.199997,"South America"
"29","Argentina",1980,93.912857,"South America"
"30","Argentina",1991,96.128197,"South America"
"31","Argentina",2001,97.193314,"South America"
"32","Argentina",2014,98.034019,"South America"
"33","Argentina",2015,98.089973,"South America"
"34","Armenia",1989,98.751961,"Europe"
"35","Armenia",2001,99.400162,"Europe"
"36","Armenia",2011,99.744408,"Europe"
"37","Armenia",2015,99.768417,"Europe"
"38","Australia",2003,99,"Oceania"
"39","Austria",2011,98,"Europe"
"40","Azerbaijan",1999,98.791801,"Europe"
"41","Azerbaijan",2007,99.601913,"Europe"
"42","Azerbaijan",2009,99.759842,"Europe"
"43","Azerbaijan",2010,99.771141,"Europe"
"44","Azerbaijan",2011,99.778633,"Europe"
"45","Azerbaijan",2012,99.775772,"Europe"
"46","Azerbaijan",2013,99.78936,"Europe"
"47","Azerbaijan",2014,99.788986,"Europe"
"48","Azerbaijan",2015,99.80526,"Europe"
"49","Bahamas",2003,95.599998,"North America"
"50","Bahrain",1981,69.75351,"Asia"
"51","Bahrain",1991,84.013832,"Asia"
"52","Bahrain",2001,86.548737,"Asia"
"53","Bahrain",2010,94.556793,"Asia"
"54","Bahrain",2015,95.717262,"Asia"
"55","Bangladesh",1981,29.22723,"Asia"
"56","Bangladesh",1991,35.319302,"Asia"
"57","Bangladesh",2001,47.4855,"Asia"
"58","Bangladesh",2014,60.575218,"Asia"
"59","Bangladesh",2015,61.493832,"Asia"
"60","Barbados",1970,99.268082,"North America"
"61","Barbados",2002,99.699997,"North America"
"62","Belarus",1989,97.883369,"Europe"
"63","Belarus",1999,99.590729,"Europe"
"64","Belarus",2009,99.617058,"Europe"
"65","Belarus",2015,99.722038,"Europe"
"66","Belgium",1475,10,"Europe"
"67","Belgium",1550,17,"Europe"
"68","Belgium",1650,25,"Europe"
"69","Belgium",1750,13,"Europe"
"70","Belgium",2003,99,"Europe"
"71","Belize",1991,70.298424,"North America"
"72","Belize",2015,82.776817,"North America"
"73","Benin",1979,16.48279,"Africa"
"74","Benin",1992,27.245251,"Africa"
"75","Benin",2002,34.657848,"Africa"
"76","Benin",2006,28.70211,"Africa"
"77","Benin",2015,38.44714,"Africa"
"78","Bhutan",2005,52.81469,"Asia"
"79","Bhutan",2012,57.0336,"Asia"
"80","Bhutan",2015,63.906818,"Asia"
