"","region","year","urban_population","continent"
"1","Afghanistan",1960,8.401,"Asia"
"2","Afghanistan",1961,8.684,"Asia"
"3","Afghanistan",1962,8.976,"Asia"
"4","Afghanistan",1963,9.276,"Asia"
"5","Afghanistan",1964,9.586,"Asia"
"6","Afghanistan",1965,9.904,"Asia"
"7","Afghanistan",1966,10.233,"Asia"
"8","Afghanistan",1967,10.57,"Asia"
"9","Afghanistan",1968,10.918,"Asia"
"10","Afghanistan",1969,11.275,"Asia"
"11","Afghanistan",1970,11.643,"Asia"
"12","Afghanistan",1971,12.021,"Asia"
"13","Afghanistan",1972,12.41,"Asia"
"14","Afghanistan",1973,12.809,"Asia"
"15","Afghanistan",1974,13.219,"Asia"
"16","Afghanistan",1975,13.641,"Asia"
"17","Afghanistan",1976,14.074,"Asia"
"18","Afghanistan",1977,14.517,"Asia"
"19","Afghanistan",1978,14.973,"Asia"
"20","Afghanistan",1979,15.442,"Asia"
"21","Afghanistan",1980,15.995,"Asia"
"22","Afghanistan",1981,16.562,"Asia"
"23","Afghanistan",1982,17.147,"Asia"
"24","Afghanistan",1983,17.747,"Asia"
"25","Afghanistan",1984,18.365,"Asia"
"26","Afghanistan",1985,18.997,"Asia"
"27","Afghanistan",1986,19.647,"Asia"
"28","Afghanistan",1987,20.314,"Asia"
"29","Afghanistan",1988,20.998,"Asia"
"30","Afghanistan",1989,21.088,"Asia"
"31","Afghanistan",1990,21.177,"Asia"
"32","Afghanistan",1991,21.266,"Asia"
"33","Afghanistan",1992,21.355,"Asia"
"34","Afghanistan",1993,21.444,"Asia"
"35","Afghanistan",1994,21.534,"Asia"
"36","Afghanistan",1995,21.624,"Asia"
"37","Afghanistan",1996,21.714,"Asia"
"38","Afghanistan",1997,21.805,"Asia"
"39","Afghanistan",1998,21.895,"Asia"
"40","Afghanistan",1999,21.986,"Asia"
"41","Afghanistan",2000,22.078,"Asia"
"42","Afghanistan",2001,22.169,"Asia"
"43","Afghanistan",2002,22.261,"Asia"
"44","Afghanistan",2003,22.353,"Asia"
"45","Afghanistan",2004,22.5,"Asia"
"46","Afghanistan",2005,22.703,"Asia"
"47","Afghanistan",2006,22.907,"Asia"
"48","Afghanistan",2007,23.113,"Asia"
"49","Afghanistan",2008,23.32,"Asia"
"50","Afghanistan",2009,23.528,"Asia"
"51","Afghanistan",2010,23.737,"Asia"
"52","Afghanistan",2011,23.948,"Asia"
"53","Afghanistan",2012,24.16,"Asia"
"54","Afghanistan",2013,24.373,"Asia"
"55","Afghanistan",2014,24.587,"Asia"
"56","Afghanistan",2015,24.803,"Asia"
"57","Afghanistan",2016,25.02,"Asia"
"58","Afghanistan",2017,25.25,"Asia"
"59","Afghanistan",2018,25.495,"Asia"
"60","Afghanistan",2019,25.754,"Asia"
"61","Afghanistan",2020,26.026,"Asia"
"62","Albania",1960,30.705,"Europe"
"63","Albania",1961,30.943,"Europe"
"64","Albania",1962,31.015,"Europe"
"65","Albania",1963,31.086,"Europe"
"66","Albania",1964,31.158,"Europe"
"67","Albania",1965,31.23,"Europe"
"68","Albania",1966,31.302,"Europe"
"69","Albania",1967,31.374,"Europe"
"70","Albania",1968,31.446,"Europe"
"71","Albania",1969,31.548,"Europe"
"72","Albania",1970,31.74,"Europe"
"73","Albania",1971,31.933,"Europe"
"74","Albania",1972,32.127,"Europe"
"75","Albania",1973,32.321,"Europe"
"76","Albania",1974,32.516,"Europe"
"77","Albania",1975,32.712,"Europe"
"78","Albania",1976,32.908,"Europe"
"79","Albania",1977,33.105,"Europe"
"80","Albania",1978,33.302,"Europe"
"81","Albania",1979,33.5,"Europe"
"82","Albania",1980,33.762,"Europe"
"83","Albania",1981,34.024,"Europe"
"84","Albania",1982,34.287,"Europe"
"85","Albania",1983,34.552,"Europe"
"86","Albania",1984,34.817,"Europe"
"87","Albania",1985,35.083,"Europe"
"88","Albania",1986,35.35,"Europe"
"89","Albania",1987,35.619,"Europe"
"90","Albania",1988,35.888,"Europe"
"91","Albania",1989,36.158,"Europe"
"92","Albania",1990,36.428,"Europe"
"93","Albania",1991,36.7,"Europe"
"94","Albania",1992,37.249,"Europe"
"95","Albania",1993,37.799,"Europe"
"96","Albania",1994,38.354,"Europe"
"97","Albania",1995,38.911,"Europe"
"98","Albania",1996,39.473,"Europe"
"99","Albania",1997,40.035,"Europe"
"100","Albania",1998,40.601,"Europe"
"101","Albania",1999,41.169,"Europe"
"102","Albania",2000,41.741,"Europe"
"103","Albania",2001,42.435,"Europe"
