"","region","year","working_hours","continent"
"1","Argentina",1950,2034,"South America"
"2","Argentina",1951,2037.8667,"South America"
"3","Argentina",1952,2041.7408,"South America"
"4","Argentina",1953,2045.6223,"South America"
"5","Argentina",1954,2049.5112,"South America"
"6","Argentina",1955,2053.4075,"South America"
"7","Argentina",1956,2057.311,"South America"
"8","Argentina",1957,2061.2222,"South America"
"9","Argentina",1958,2065.1406,"South America"
"10","Argentina",1959,2069.0667,"South America"
"11","Argentina",1960,2073,"South America"
"12","Argentina",1961,2066.2004,"South America"
"13","Argentina",1962,2059.4233,"South America"
"14","Argentina",1963,2052.6685,"South America"
"15","Argentina",1964,2045.9355,"South America"
"16","Argentina",1965,2039.2249,"South America"
"17","Argentina",1966,2032.5361,"South America"
"18","Argentina",1967,2025.8694,"South America"
"19","Argentina",1968,2019.2245,"South America"
"20","Argentina",1969,2012.6013,"South America"
"21","Argentina",1970,2006,"South America"
"22","Argentina",1971,2002.6611,"South America"
"23","Argentina",1972,1999.3278,"South America"
"24","Argentina",1973,1996,"South America"
"25","Argentina",1974,1992.8422,"South America"
"26","Argentina",1975,1989.6893,"South America"
"27","Argentina",1976,1986.5415,"South America"
"28","Argentina",1977,1983.3987,"South America"
"29","Argentina",1978,1980.2609,"South America"
"30","Argentina",1979,1977.1279,"South America"
"31","Argentina",1980,1974,"South America"
"32","Argentina",1981,1961.2301,"South America"
"33","Argentina",1982,1948.5427,"South America"
"34","Argentina",1983,1935.9375,"South America"
"35","Argentina",1984,1923.4137,"South America"
"36","Argentina",1985,1910.9711,"South America"
"37","Argentina",1986,1898.6089,"South America"
"38","Argentina",1987,1886.3267,"South America"
"39","Argentina",1988,1874.1238,"South America"
"40","Argentina",1989,1862,"South America"
"41","Argentina",1990,1850,"South America"
"42","Argentina",1991,1837.9608,"South America"
"43","Argentina",1992,1826,"South America"
"44","Argentina",1993,1850.3378,"South America"
"45","Argentina",1994,1875,"South America"
"46","Argentina",1995,1881.9612,"South America"
"47","Argentina",1996,1888.9481,"South America"
"48","Argentina",1997,1895.9611,"South America"
"49","Argentina",1998,1903,"South America"
"50","Argentina",1999,1887.285,"South America"
"51","Argentina",2000,1862.1362,"South America"
"52","Argentina",2001,1811.1526,"South America"
"53","Argentina",2002,1710.0365,"South America"
"54","Argentina",2003,1713.5746,"South America"
"55","Argentina",2004,1730.8173,"South America"
"56","Argentina",2005,1761.3994,"South America"
"57","Argentina",2006,1765.6013,"South America"
"58","Argentina",2007,1780.5565,"South America"
"59","Argentina",2008,1781.4246,"South America"
"60","Argentina",2009,1742.9043,"South America"
"61","Argentina",2010,1751.7655,"South America"
"62","Argentina",2011,1750.9741,"South America"
"63","Argentina",2012,1726.2584,"South America"
